RegionID,RegionName,StateName,home_value,rent,rent_burden,rent_leftover,rent_status,required_annual_income_rent,mortgage_total_monthly,mortgage_burden,mortgage_leftover,mortgage_status,required_annual_income_buy
394669,"Hartford, CT",CT,398816,2523,0.303,499,Stretched,91939,2565,0.308,457,Stretched,92623
394425,"Buffalo, NY",NY,274646,1858,0.223,1165,Comfortable,81201,1813,0.218,1209,Comfortable,80485
394388,"Birmingham, AL",AL,253576,1488,0.179,1535,Comfortable,75227,1686,0.202,1337,Comfortable,78426
395031,"Rochester, NY",NY,265146,1939,0.233,1083,Comfortable,82518,1756,0.211,1267,Comfortable,79557
394640,"Grand Rapids, MI",MI,338591,2170,0.26,853,Comfortable,86235,2201,0.264,822,Comfortable,86736
395167,"Tucson, AZ",AZ,349615,1889,0.227,1134,Comfortable,81704,2267,0.272,755,Comfortable,87814
753924,"Urban Honolulu, HI",HI,1026986,3200,0.384,-177,Stretched,102857,6370,0.764,-3347,Not Viable,154028
395169,"Tulsa, OK",OK,247750,1574,0.189,1448,Comfortable,76623,1651,0.198,1372,Comfortable,77856
394619,"Fresno, CA",CA,406850,2395,0.287,627,Comfortable,89879,2614,0.314,408,Stretched,93409
395238,"Worcester, MA",MA,474647,2733,0.328,290,Stretched,95325,3025,0.363,-2,Stretched,100036
394938,"Omaha, NE",NE,296884,1904,0.229,1118,Comfortable,81955,1948,0.234,1074,Comfortable,82659
394415,"Bridgeport, CT",CT,734277,3903,0.468,-881,Not Viable,114214,4597,0.552,-1575,Not Viable,125415
394653,"Greenville, SC",SC,305005,1850,0.222,1172,Comfortable,81079,1997,0.24,1025,Comfortable,83453
394312,"Albuquerque, NM",NM,343094,2063,0.248,960,Comfortable,84510,2228,0.267,795,Comfortable,87176
394357,"Bakersfield, CA",CA,359943,2232,0.268,791,Comfortable,87239,2330,0.28,692,Comfortable,88823
394308,"Albany, NY",NY,353495,2187,0.262,835,Comfortable,86520,2291,0.275,732,Comfortable,88193
394753,"Knoxville, TN",TN,355163,2024,0.243,998,Comfortable,83886,2301,0.276,721,Comfortable,88356
394367,"Baton Rouge, LA",LA,245063,1717,0.206,1305,Comfortable,78934,1634,0.196,1388,Comfortable,77594
394843,"McAllen, TX",TX,190047,1740,0.209,1282,Comfortable,79307,1301,0.156,1721,Comfortable,72216
394908,"New Haven, CT",CT,411229,2827,0.339,196,Stretched,96844,2641,0.317,382,Stretched,93837
394561,"El Paso, TX",TX,226289,1686,0.202,1337,Comfortable,78426,1521,0.182,1502,Comfortable,75758
394318,"Allentown, PA",PA,352035,2154,0.258,869,Comfortable,85982,2282,0.274,740,Comfortable,88050
394952,"Oxnard, CA",CA,895335,3920,0.47,-897,Not Viable,114485,5573,0.669,-2550,Not Viable,141159
394486,"Columbia, SC",SC,249973,1787,0.214,1235,Comfortable,80062,1664,0.2,1359,Comfortable,78073
753906,"North Port, FL",FL,420272,2541,0.305,481,Stretched,92233,2695,0.323,327,Stretched,94721
394457,"Charleston, SC",SC,427695,2461,0.295,562,Comfortable,90934,2740,0.329,282,Stretched,95446
394648,"Greensboro, NC",NC,259958,1750,0.21,1272,Comfortable,79468,1724,0.207,1298,Comfortable,79050
395134,"Stockton, CA",CA,529130,2734,0.328,289,Stretched,95342,3355,0.403,-332,Not Viable,105362
394440,"Cape Coral, FL",FL,353168,2144,0.257,879,Comfortable,85814,2289,0.275,734,Comfortable,88161
394399,"Boise City, ID",ID,480904,2167,0.26,856,Comfortable,86189,3063,0.368,-40,Stretched,100647
394484,"Colorado Springs, CO",CO,454496,2222,0.267,801,Comfortable,87074,2903,0.348,120,Stretched,98066
394798,"Little Rock, AR",AR,223962,1408,0.169,1615,Comfortable,73941,1506,0.181,1516,Comfortable,75531
394766,"Lakeland, FL",FL,301489,2029,0.244,993,Comfortable,83970,1976,0.237,1047,Comfortable,83109
394304,"Akron, OH",OH,230395,1447,0.174,1576,Comfortable,74564,1545,0.185,1477,Comfortable,76160
394531,"Des Moines, IA",IA,296717,1683,0.202,1339,Comfortable,78383,1947,0.234,1075,Comfortable,82643
395115,"Springfield, MA",MA,363810,2557,0.307,466,Stretched,92481,2353,0.282,669,Comfortable,89201
394931,"Ogden, UT",UT,511234,2234,0.268,789,Comfortable,87271,3246,0.39,-224,Stretched,103612
394816,"Madison, WI",WI,447600,2823,0.339,199,Stretched,96787,2861,0.343,162,Stretched,97392
395235,"Winston, NC",NC,273774,1781,0.214,1241,Comfortable,79962,1808,0.217,1214,Comfortable,80400
394528,"Deltona, FL",FL,327411,2060,0.247,963,Comfortable,84460,2133,0.256,890,Comfortable,85643
395143,"Syracuse, NY",NY,248727,2115,0.254,907,Comfortable,85358,1656,0.199,1366,Comfortable,77952
395006,"Provo, UT",UT,550535,2263,0.272,759,Comfortable,87745,3484,0.418,-462,Not Viable,107454
395160,"Toledo, OH",OH,193420,1292,0.155,1730,Comfortable,72071,1321,0.159,1701,Comfortable,72545
395224,"Wichita, KS",KS,214877,1281,0.154,1741,Comfortable,71894,1451,0.174,1571,Comfortable,74643
394549,"Durham, NC",NC,410739,2123,0.255,899,Comfortable,85485,2638,0.317,385,Stretched,93789
394352,"Augusta, GA",GA,240166,1634,0.196,1389,Comfortable,77583,1605,0.193,1418,Comfortable,77115
394957,"Palm Bay, FL",FL,347213,2187,0.262,835,Comfortable,86516,2253,0.27,770,Comfortable,87579
394711,"Jackson, MS",MS,204845,1618,0.194,1404,Comfortable,77337,1391,0.167,1632,Comfortable,73662
394666,"Harrisburg, PA",PA,301321,1760,0.211,1262,Comfortable,79624,1975,0.237,1048,Comfortable,83093
395113,"Spokane, WA",WA,411846,2082,0.25,940,Comfortable,84825,2644,0.317,378,Stretched,93897
395075,"Scranton, PA",PA,219487,1519,0.182,1504,Comfortable,75730,1479,0.178,1543,Comfortable,75093
394460,"Chattanooga, TN",TN,315805,1879,0.225,1144,Comfortable,81538,2063,0.248,960,Comfortable,84509
394871,"Modesto, CA",CA,460946,2407,0.289,616,Comfortable,90064,2942,0.353,81,Stretched,98697
394768,"Lancaster, PA",PA,374466,1697,0.204,1325,Comfortable,78610,2418,0.29,605,Comfortable,90243
394997,"Portland, ME",ME,528653,2789,0.335,234,Stretched,96227,3352,0.402,-329,Not Viable,105315
395245,"Youngstown, OH",OH,162520,1225,0.147,1798,Comfortable,70982,1134,0.136,1888,Comfortable,69525
394770,"Lansing, MI",MI,236746,1793,0.215,1230,Comfortable,80151,1584,0.19,1439,Comfortable,76781
394590,"Fayetteville, AR",AR,360613,1758,0.211,1264,Comfortable,79598,2334,0.28,688,Comfortable,88889
394589,"Fayetteville, NC",NC,250991,1649,0.198,1373,Comfortable,77834,1670,0.2,1352,Comfortable,78173
394792,"Lexington, KY",KY,316970,1855,0.223,1168,Comfortable,81150,2070,0.248,953,Comfortable,84623
394971,"Pensacola, FL",FL,295960,1900,0.228,1122,Comfortable,81891,1942,0.233,1080,Comfortable,82569
395068,"Santa Rosa, CA",CA,793743,3317,0.398,-295,Stretched,104754,4957,0.595,-1935,Not Viable,131228
395019,"Reno, NV",NV,561727,2496,0.3,526,Comfortable,91510,3552,0.426,-530,Not Viable,108548
394698,"Huntsville, AL",AL,309713,1729,0.208,1293,Comfortable,79130,2026,0.243,997,Comfortable,83913
394995,"Port St. Lucie, FL",FL,394374,2608,0.313,415,Stretched,93303,2539,0.305,484,Stretched,92189
394761,"Lafayette, LA",LA,193919,1588,0.191,1435,Comfortable,76842,1324,0.159,1698,Comfortable,72594
394898,"Myrtle Beach, SC",SC,358756,2063,0.248,959,Comfortable,84516,2323,0.279,700,Comfortable,88707
395116,"Springfield, MO",MO,262216,1425,0.171,1598,Comfortable,74211,1738,0.209,1284,Comfortable,79270
395195,"Visalia, CA",CA,355472,1961,0.235,1061,Comfortable,82870,2303,0.276,720,Comfortable,88386
394746,"Killeen, TX",TX,249019,1514,0.182,1509,Comfortable,75649,1658,0.199,1364,Comfortable,77980
394338,"Asheville, NC",NC,425026,2223,0.267,800,Comfortable,87095,2724,0.327,298,Stretched,95185
395244,"York, PA",PA,302341,1468,0.176,1555,Comfortable,74906,1981,0.238,1041,Comfortable,83193
395183,"Vallejo, CA",CA,574902,2960,0.355,63,Stretched,98990,3632,0.436,-609,Not Viable,109836
753917,"Santa Maria, CA",CA,1024527,4864,0.584,-1842,Not Viable,129722,6355,0.763,-3333,Not Viable,153788
395050,"Salinas, CA",CA,840566,4037,0.484,-1015,Not Viable,116377,5241,0.629,-2218,Not Viable,135805
395048,"Salem, OR",OR,445694,2335,0.28,687,Comfortable,88909,2849,0.342,173,Stretched,97206
394870,"Mobile, AL",AL,190864,1451,0.174,1571,Comfortable,74639,1306,0.157,1717,Comfortable,72296
395015,"Reading, PA",PA,303963,1787,0.214,1235,Comfortable,80063,1991,0.239,1032,Comfortable,83351
394502,"Corpus Christi, TX",TX,214210,1922,0.231,1101,Comfortable,82235,1447,0.174,1575,Comfortable,74578
394421,"Brownsville, TX",TX,194882,1782,0.214,1240,Comfortable,79979,1330,0.16,1692,Comfortable,72688
394820,"Manchester, NH",NH,533143,2843,0.341,179,Stretched,97107,3379,0.405,-357,Not Viable,105754
394612,"Fort Wayne, IN",IN,246581,1412,0.169,1611,Comfortable,74006,1643,0.197,1379,Comfortable,77742
394658,"Gulfport, MS",MS,217234,1591,0.191,1431,Comfortable,76901,1466,0.176,1557,Comfortable,74873
395051,"Salisbury, MD",DE,417277,2116,0.254,906,Comfortable,85374,2677,0.321,345,Stretched,94428
394596,"Flint, MI",MI,181417,1059,0.127,1963,Comfortable,68313,1249,0.15,1774,Comfortable,71372
394972,"Peoria, IL",IL,162431,1268,0.152,1755,Comfortable,71681,1134,0.136,1889,Comfortable,69516
394439,"Canton, OH",OH,205713,1244,0.149,1779,Comfortable,71293,1396,0.168,1627,Comfortable,73747
395070,"Savannah, GA",GA,347440,2155,0.259,867,Comfortable,86000,2254,0.271,768,Comfortable,87601
394327,"Anchorage, AK",AK,424210,2389,0.287,634,Comfortable,89769,2719,0.326,303,Stretched,95106
394372,"Beaumont, TX",TX,179559,1485,0.178,1538,Comfortable,75182,1238,0.149,1785,Comfortable,71190
395096,"Shreveport, LA",LA,173034,1263,0.152,1759,Comfortable,71605,1198,0.144,1825,Comfortable,70553
395164,"Trenton, NJ",NJ,447851,2574,0.309,449,Stretched,92756,2862,0.343,160,Stretched,97416
394875,"Montgomery, AL",AL,203894,1430,0.172,1592,Comfortable,74305,1385,0.166,1638,Comfortable,73569
394520,"Davenport, IA",IL,186710,1384,0.166,1639,Comfortable,73553,1281,0.154,1742,Comfortable,71889
395146,"Tallahassee, FL",FL,282992,1650,0.198,1373,Comfortable,77848,1864,0.224,1159,Comfortable,81301
394576,"Eugene, OR",OR,448819,2140,0.257,882,Comfortable,85757,2868,0.344,154,Stretched,97511
394901,"Naples, FL",FL,665724,3932,0.472,-909,Not Viable,114675,4182,0.502,-1159,Not Viable,118714
394332,"Ann Arbor, MI",MI,415160,3210,0.385,-187,Stretched,103022,2664,0.32,358,Stretched,94221
394927,"Ocala, FL",FL,275208,1759,0.211,1263,Comfortable,79610,1817,0.218,1206,Comfortable,80540
394679,"Hickory, NC",NC,260204,1713,0.206,1309,Comfortable,78873,1726,0.207,1297,Comfortable,79074
394697,"Huntington, WV",OH,159789,1170,0.14,1852,Comfortable,70102,1118,0.134,1905,Comfortable,69258
394602,"Fort Collins, CO",CO,561061,2442,0.293,581,Comfortable,90629,3548,0.426,-526,Not Viable,108483
395033,"Rockford, IL",IL,207986,1503,0.18,1519,Comfortable,75483,1410,0.169,1613,Comfortable,73969
394796,"Lincoln, NE",NE,291406,1717,0.206,1305,Comfortable,78929,1915,0.23,1108,Comfortable,82124
394622,"Gainesville, FL",FL,310062,2032,0.244,991,Comfortable,84006,2028,0.243,995,Comfortable,83947
394405,"Boulder, CO",CO,756963,3282,0.394,-259,Stretched,104183,4735,0.568,-1712,Not Viable,127633
394646,"Green Bay, WI",WI,328831,1529,0.183,1494,Comfortable,75890,2142,0.257,881,Comfortable,85782
394488,"Columbus, GA",GA,200631,1425,0.171,1598,Comfortable,74211,1365,0.164,1657,Comfortable,73250
395107,"South Bend, IN",IN,219191,1354,0.163,1668,Comfortable,73074,1478,0.177,1545,Comfortable,75065
395109,"Spartanburg, SC",SC,273332,1680,0.202,1343,Comfortable,78329,1805,0.217,1217,Comfortable,80357
394645,"Greeley, CO",CO,493719,2516,0.302,506,Stretched,91833,3140,0.377,-118,Stretched,101900
394808,"Lubbock, TX",TX,206933,1436,0.172,1587,Comfortable,74392,1403,0.168,1619,Comfortable,73866
394471,"Clarksville, TN",TN,293031,1562,0.187,1461,Comfortable,76425,1925,0.231,1098,Comfortable,82283
395028,"Roanoke, VA",VA,287877,1671,0.201,1352,Comfortable,78187,1894,0.227,1129,Comfortable,81779
394579,"Evansville, IN",IN,215489,1135,0.136,1887,Comfortable,69544,1455,0.175,1567,Comfortable,74703
394747,"Kingsport, TN",TN,240178,1404,0.169,1618,Comfortable,73883,1605,0.193,1418,Comfortable,77116
394741,"Kennewick, WA",WA,434133,2208,0.265,815,Comfortable,86848,2779,0.334,243,Stretched,96076
395179,"Utica, NY",NY,218911,1762,0.211,1261,Comfortable,79650,1476,0.177,1547,Comfortable,75037
394660,"Hagerstown, MD",MD,315467,1812,0.217,1211,Comfortable,80455,2061,0.247,962,Comfortable,84476
394543,"Duluth, MN",MN,247543,2164,0.26,859,Comfortable,86143,1649,0.198,1373,Comfortable,77836
394937,"Olympia, WA",WA,521905,2513,0.302,509,Stretched,91779,3311,0.397,-288,Stretched,104655
394803,"Longview, TX",TX,213802,1609,0.193,1414,Comfortable,77180,1445,0.173,1578,Comfortable,74538
395229,"Wilmington, NC",NC,437944,2230,0.268,792,Comfortable,87213,2802,0.336,220,Stretched,96448
395061,"San Luis Obispo, CA",CA,905535,3419,0.41,-396,Not Viable,106396,5634,0.676,-2612,Not Viable,142156
753875,"Crestview, FL",FL,400368,2070,0.248,952,Comfortable,84629,2575,0.309,448,Stretched,92775
394851,"Merced, CA",CA,413069,2170,0.26,853,Comfortable,86241,2652,0.318,371,Stretched,94016
395197,"Waco, TX",TX,247846,1624,0.195,1398,Comfortable,77434,1651,0.198,1371,Comfortable,77866
394447,"Cedar Rapids, IA",IA,242911,1361,0.163,1661,Comfortable,73187,1621,0.195,1401,Comfortable,77383
394348,"Atlantic City, NJ",NJ,398262,3080,0.37,-58,Stretched,100934,2562,0.307,460,Stretched,92569
394412,"Bremerton, WA",WA,569805,2664,0.32,359,Stretched,94212,3601,0.432,-579,Not Viable,109338
395103,"Sioux Falls, SD",SD,334021,1778,0.213,1245,Comfortable,79911,2173,0.261,849,Comfortable,86289
395065,"Santa Cruz, CA",CA,1141017,4146,0.497,-1123,Not Viable,118130,7061,0.847,-4038,Not Viable,165175
394572,"Erie, PA",PA,210060,1335,0.16,1688,Comfortable,72761,1422,0.171,1600,Comfortable,74172
394924,"Norwich, CT",CT,411856,2536,0.304,486,Stretched,92152,2644,0.317,378,Stretched,93898
394323,"Amarillo, TX",TX,210462,1454,0.174,1569,Comfortable,74683,1425,0.171,1598,Comfortable,74211
394772,"Laredo, TX",TX,213197,1586,0.19,1436,Comfortable,76817,1441,0.173,1581,Comfortable,74479
395171,"Tuscaloosa, AL",AL,213505,1884,0.226,1139,Comfortable,81619,1443,0.173,1579,Comfortable,74509
394483,"College Station, TX",TX,307138,2617,0.314,405,Stretched,93462,2010,0.241,1012,Comfortable,83662
394732,"Kalamazoo, MI",MI,261884,1929,0.231,1094,Comfortable,82346,1736,0.208,1286,Comfortable,79238
394811,"Lynchburg, VA",VA,277461,1580,0.19,1443,Comfortable,76711,1830,0.22,1192,Comfortable,80761
394455,"Charleston, WV",WV,145950,1233,0.148,1789,Comfortable,71119,1034,0.124,1989,Comfortable,67905
395240,"Yakima, WA",WA,347047,1910,0.229,1112,Comfortable,82045,2252,0.27,771,Comfortable,87563
394585,"Fargo, ND",ND,321358,1968,0.236,1054,Comfortable,82981,2096,0.252,926,Comfortable,85052
394387,"Binghamton, NY",NY,188027,1877,0.225,1146,Comfortable,81508,1289,0.155,1734,Comfortable,72018
394609,"Fort Smith, AR",AR,197467,1268,0.152,1755,Comfortable,71675,1346,0.162,1677,Comfortable,72941
394334,"Appleton, WI",WI,332082,1781,0.214,1241,Comfortable,79963,2161,0.259,861,Comfortable,86100
395161,"Topeka, KS",KS,211101,1202,0.144,1820,Comfortable,70619,1429,0.171,1594,Comfortable,74274
394813,"Macon, GA",GA,191218,1366,0.164,1657,Comfortable,73264,1308,0.157,1714,Comfortable,72330
395174,"Tyler, TX",TX,266463,1710,0.205,1313,Comfortable,78813,1764,0.212,1259,Comfortable,79685
394361,"Barnstable Town, MA",MA,771013,2841,0.341,181,Stretched,97078,4820,0.578,-1797,Not Viable,129006
394519,"Daphne, AL",AL,349900,2023,0.243,999,Comfortable,83869,2269,0.272,753,Comfortable,87842
394378,"Bellingham, WA",WA,624717,2704,0.324,319,Stretched,94857,3934,0.472,-911,Not Viable,114706
394429,"Burlington, VT",VT,476453,3388,0.407,-365,Not Viable,105899,3036,0.364,-13,Stretched,100212
395030,"Rochester, MN",MN,330589,2090,0.251,933,Comfortable,84946,2152,0.258,870,Comfortable,85954
753895,"Lafayette, IN",IN,275305,1947,0.234,1076,Comfortable,82638,1817,0.218,1205,Comfortable,80550
394454,"Champaign, IL",IL,231717,1583,0.19,1439,Comfortable,76772,1553,0.186,1469,Comfortable,76289
394848,"Medford, OR",OR,427501,2082,0.25,941,Comfortable,84814,2739,0.329,283,Stretched,95427
394459,"Charlottesville, VA",VA,468126,2394,0.287,628,Comfortable,89858,2985,0.358,37,Stretched,99398
394763,"Lake Charles, LA",LA,194075,1218,0.146,1805,Comfortable,70873,1325,0.159,1697,Comfortable,72609
394773,"Las Cruces, NM",NM,288050,1709,0.205,1314,Comfortable,78800,1895,0.227,1128,Comfortable,81796
394464,"Chico, CA",CA,393390,2048,0.246,974,Comfortable,84280,2533,0.304,490,Stretched,92093
394681,"Hilton Head Island, SC",SC,527759,2600,0.312,423,Stretched,93179,3346,0.402,-324,Not Viable,105228
394346,"Athens, GA",GA,371128,2155,0.259,867,Comfortable,86005,2398,0.288,625,Comfortable,89917
394765,"Lake Havasu City, AZ",AZ,351262,1772,0.213,1251,Comfortable,79815,2277,0.273,745,Comfortable,87975
394485,"Columbia, MO",MO,314897,1677,0.201,1345,Comfortable,78284,2057,0.247,965,Comfortable,84420
395114,"Springfield, IL",IL,188918,1427,0.171,1596,Comfortable,74246,1294,0.155,1728,Comfortable,72105
394691,"Houma, LA",LA,175916,1327,0.159,1696,Comfortable,72634,1215,0.146,1807,Comfortable,70834
394872,"Monroe, LA",LA,158014,982,0.118,2040,Comfortable,67073,1107,0.133,1915,Comfortable,69084
394565,"Elkhart, IN",IN,252283,1413,0.17,1609,Comfortable,74025,1678,0.201,1345,Comfortable,78299
394726,"Johnson City, TN",TN,276083,1727,0.207,1295,Comfortable,79098,1822,0.219,1200,Comfortable,80626
395247,"Yuma, AZ",AZ,280275,1594,0.191,1429,Comfortable,76939,1847,0.222,1175,Comfortable,81036
394623,"Gainesville, GA",GA,388450,2152,0.258,870,Comfortable,85953,2503,0.3,520,Stretched,91610
394716,"Jacksonville, NC",NC,280563,1555,0.187,1468,Comfortable,76314,1849,0.222,1173,Comfortable,81064
394597,"Florence, SC",SC,185048,1343,0.161,1679,Comfortable,72897,1271,0.152,1752,Comfortable,71727
394680,"Hilo, HI",HI,557283,2754,0.33,269,Stretched,95662,3525,0.423,-503,Not Viable,108114
395118,"St. Cloud, MN",MN,305605,1618,0.194,1404,Comfortable,77337,2001,0.24,1022,Comfortable,83512
395011,"Racine, WI",WI,302085,1629,0.195,1394,Comfortable,77507,1980,0.238,1043,Comfortable,83168
394380,"Bend, OR",OR,666064,2600,0.312,423,Stretched,93177,4184,0.502,-1162,Not Viable,118747
395047,"Saginaw, MI",MI,162883,1194,0.143,1828,Comfortable,70496,1137,0.136,1886,Comfortable,69560
395202,"Warner Robins, GA",GA,246368,1628,0.195,1394,Comfortable,77499,1642,0.197,1380,Comfortable,77721
395151,"Terre Haute, IN",IN,160422,983,0.118,2039,Comfortable,67088,1122,0.135,1901,Comfortable,69320
395162,"Torrington, CT",CT,428630,3211,0.385,-189,Stretched,103048,2746,0.33,276,Stretched,95538
395009,"Punta Gorda, FL",FL,309762,2024,0.243,998,Comfortable,83890,2026,0.243,996,Comfortable,83918
394386,"Billings, MT",MT,401732,1770,0.212,1252,Comfortable,79793,2583,0.31,439,Stretched,92908
395018,"Redding, CA",CA,365212,2061,0.247,961,Comfortable,84488,2362,0.283,661,Comfortable,89338
394748,"Kingston, NY",NY,430192,2612,0.314,410,Stretched,93383,2755,0.331,267,Stretched,95690
394960,"Panama City, FL",FL,320744,2043,0.245,980,Comfortable,84183,2093,0.251,930,Comfortable,84992
394729,"Joplin, MO",MO,221450,1290,0.155,1733,Comfortable,72032,1491,0.179,1531,Comfortable,75285
394539,"Dover, DE",DE,362566,2006,0.241,1017,Comfortable,83586,2346,0.282,677,Comfortable,89080
394559,"El Centro, CA",CA,369990,2292,0.275,731,Comfortable,88204,2391,0.287,632,Comfortable,89805
394712,"Jackson, TN",TN,199990,1605,0.193,1418,Comfortable,77114,1361,0.163,1661,Comfortable,73188
395246,"Yuba City, CA",CA,422849,2449,0.294,573,Comfortable,90748,2711,0.325,311,Stretched,94972
394406,"Bowling Green, KY",KY,258924,1610,0.193,1413,Comfortable,77198,1718,0.206,1304,Comfortable,78949
395119,"St. George, UT",UT,536221,2021,0.243,1002,Comfortable,83834,3398,0.408,-375,Not Viable,106055
394896,"Muskegon, MI",MI,237348,1425,0.171,1597,Comfortable,74219,1588,0.191,1435,Comfortable,76839
394299,"Abilene, TX",TX,198668,1621,0.195,1402,Comfortable,77378,1353,0.162,1669,Comfortable,73058
394707,"Iowa City, IA",IA,324384,2516,0.302,507,Stretched,91821,2115,0.254,908,Comfortable,85347
394351,"Auburn, AL",AL,339876,1947,0.234,1075,Comfortable,82643,2208,0.265,814,Comfortable,86862
394860,"Midland, TX",TX,322883,2519,0.302,503,Stretched,91877,2106,0.253,917,Comfortable,85201
753869,"Bloomington, IL",IL,253929,1951,0.234,1072,Comfortable,82701,1688,0.203,1335,Comfortable,78460
